config_id,arm,arm_kind,stage,n_runs,n_runs_denom,invalid_rate,honest_halt_rate,unsettled_rate,Decl,Set,Ovr,Cov,PIT,Prov,Align,Adj,Cal,CellAgree,fid_day_rate,rho_p10,rho_median,rho_mean,day_coverage,within_band_rate,max_band_ratio,band:ic_stats.mean,band:ic_stats.std,band:ic_stats.icir,band:ic_stats.coverage,StateAgree,Sig,Cons,Feas,WeightAgree,ledger_conservation,attribution_conservation
cfg-codex-deepseek,open,baseline,S1,1,1,0.0,0.0,0.0,unobservable,unobservable,0.13559322033898305,1.0,0.5932203389830508,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S2,1,1,0.0,0.0,0.0,unobservable,unobservable,0.09411764705882353,n/a,n/a,n/a,1.0,1.0,1.0,0.9989448441247002,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S3,1,1,1.0,0.0,0.0,—,—,0.11320754716981132,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S4,1,1,0.0,0.0,0.0,—,—,0.007881773399014778,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S5,1,1,0.0,0.0,0.0,unobservable,unobservable,0.017241379310344827,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,0.9999999999999998,1.0,unobservable,1.0,n/a,n/a,n/a,n/a,n/a,n/a,unobservable,unobservable,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,open,baseline,S6,1,1,0.0,0.0,0.0,unobservable,unobservable,0.008746355685131196,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,1.0,n/a,n/a
cfg-codex-deepseek,open,baseline,S7,4,4,0.0,0.0,0.0,—,—,0.01569995638901003,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—
cfg-codex-deepseek,strict,protocol,S1,1,1,1.0,0.0,0.0,—,—,0.13157894736842105,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S2,1,1,0.0,0.0,0.0,unobservable,unobservable,0.14925373134328357,n/a,n/a,n/a,1.0,1.0,1.0,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S3,1,1,1.0,0.0,0.0,—,—,0.01652892561983471,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S4,2,2,0.0,0.0,0.0,unobservable,unobservable,0.018808777429467086,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,0.4879553874330887,1.0,1.0,1.0,1.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S5,1,1,1.0,0.0,0.0,—,—,0.058823529411764705,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,—,—,—,n/a,n/a,n/a,n/a,n/a,n/a,—,—,n/a,n/a,n/a,n/a,n/a
cfg-codex-deepseek,strict,protocol,S6,1,1,0.0,0.0,0.0,unobservable,unobservable,0.13114754098360656,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,1.0,n/a,n/a
cfg-codex-deepseek,strict,protocol,S7,4,4,0.0,0.25,0.0,—,—,0.026917900403768506,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,—,—,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0
