arm,arm_kind,config_id,image_digest,n_runs,reference_version,runner_version,set_version,Adj,Align,Cal,CellAgree,Cons,Cov,Feas,PIT,Prov,WeightAgree,band:ic_by_horizon.1.coverage,band:ic_by_horizon.1.icir,band:ic_by_horizon.1.mean,band:ic_by_horizon.1.std,band:ic_by_horizon.20.coverage,band:ic_by_horizon.20.icir,band:ic_by_horizon.20.mean,band:ic_by_horizon.20.std,band:ic_by_horizon.5.coverage,band:ic_by_horizon.5.icir,band:ic_by_horizon.5.mean,band:ic_by_horizon.5.std,band:ic_stats.coverage,band:ic_stats.icir,band:ic_stats.mean,band:ic_stats.std,day_coverage,fid_day_rate,honest_halt,honest_halts,invalid_rate,max_band_ratio,n_band_backtest,n_band_ic_family,n_cells,n_compared,n_days,n_days_missing,n_dependents,n_dependents_missing,n_dependents_nulled,n_fetches,n_gold_days,n_gold_rows,n_marked_unresolved,n_metrics_missing,n_non_data_requests,n_requests,n_rows_missing,n_runs_denom,n_underdetermined,pit_misses,rho_median,rho_p10,stage,tau,unobservable_probes_mean,within_band_rate
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,,1.0,,0.5932203389830508,1.0,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,3.0,,,,,4.0,59.0,,1,,24.0,,,S1,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,1.0,1.0,1.0,0.9989448441247002,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,166800.0,,,,,,,,,41700.0,,,,,44.0,1,,,,,S2,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,1,,,,,S3,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,1,,,,,S4,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0,0.0,,,,,,23.0,,,,,,23.0,,,,,,,1,,,1.0,0.9999999999999998,S5,0.9840059556217291,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,23.0,0.0,,,,,,,,,,,,1,,,,,S6,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,4,r1.0.8,df2067cc41d8…,1.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,4,,,,,S7,,0.0,
open,baseline,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,4,r1.0.14,df2067cc41d8…,1.0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,4,,,,,S8,,0.0,
strict,protocol,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,1,,,,,S1,,0.0,
strict,protocol,cfg-codex-deepseek,gb-cx-u@sha256:961e3878b28f…,1,r1.0.8,df2067cc41d8…,1.0.7,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,166800.0,,,,,,,,,41700.0,,,,,0.0,1,,,,,S2,,0.0,
